model,dataset,layer,accuracy,f1,true_positive_rate,true_negative_rate,roc_auc,average_precision,negative_support,positive_support,Classification_Type,num_layers
llama3_8b,wildguardtest,0,0.633313713949382,0.6147186147186147,0.6591511936339522,0.6126984126984127,0.6417406986372504,0.5448516825581022,945,754,Hidden States Maha,
llama3_8b,wildguardtest,1,0.736904061212478,0.6836518046709129,0.6405835543766578,0.8137566137566138,0.7908558236144444,0.7934255096111464,945,754,Hidden States Maha,
llama3_8b,wildguardtest,2,0.696291936433196,0.6406685236768802,0.610079575596817,0.765079365079365,0.7447054860847964,0.7502819026394396,945,754,Hidden States Maha,
llama3_8b,wildguardtest,3,0.7227781047675103,0.6487695749440716,0.5769230769230769,0.8391534391534392,0.7683451924831235,0.7657904683948243,945,754,Hidden States Maha,
llama3_8b,wildguardtest,4,0.7692760447321955,0.7052631578947368,0.6220159151193634,0.8867724867724868,0.8220748600058945,0.8161082258717445,945,754,Hidden States Maha,
llama3_8b,wildguardtest,5,0.7822248381400824,0.725111441307578,0.6472148541114059,0.8899470899470899,0.8530005754143685,0.8403475759049274,945,754,Hidden States Maha,
llama3_8b,wildguardtest,6,0.7928193054738081,0.7392592592592593,0.6618037135278515,0.8973544973544973,0.8649116528426872,0.8489060307613681,945,754,Hidden States Maha,
llama3_8b,wildguardtest,7,0.785167745732784,0.7329919531821507,0.6644562334217506,0.8814814814814815,0.8644850041401766,0.8369682518045677,945,754,Hidden States Maha,
llama3_8b,wildguardtest,8,0.8098881695114774,0.7633699633699633,0.6909814323607427,0.9047619047619048,0.892002442002442,0.8654514411362766,945,754,Hidden States Maha,
llama3_8b,wildguardtest,9,0.8216597998822837,0.7796363636363637,0.7108753315649867,0.91005291005291,0.8970492470492472,0.8716492443481427,945,754,Hidden States Maha,
llama3_8b,wildguardtest,10,0.8293113596233078,0.7889374090247453,0.7188328912466844,0.9174603174603174,0.9050292619258138,0.8800412660141961,945,754,Hidden States Maha,
llama3_8b,wildguardtest,11,0.8393172454384933,0.8028880866425993,0.7374005305039788,0.9206349206349206,0.9139278346174897,0.8914474958150082,945,754,Hidden States Maha,
llama3_8b,wildguardtest,12,0.8322542672160094,0.7933284989122552,0.7254641909814323,0.9174603174603174,0.9144569351465903,0.8918194738671082,945,754,Hidden States Maha,
llama3_8b,wildguardtest,13,0.8416715715126545,0.806056236481615,0.7413793103448276,0.9216931216931217,0.9180027507613714,0.898057854046499,945,754,Hidden States Maha,
llama3_8b,wildguardtest,14,0.8452030606238964,0.8109273903666427,0.7480106100795756,0.9227513227513228,0.9204707170224412,0.8970934351093063,945,754,Hidden States Maha,
llama3_8b,wildguardtest,15,0.8487345497351383,0.8144404332129964,0.7480106100795756,0.9291005291005291,0.9175796106830589,0.8926646246890143,945,754,Hidden States Maha,
llama3_8b,wildguardtest,16,0.8422601530311948,0.8069164265129684,0.7427055702917772,0.9216931216931217,0.9176104865760039,0.8934020012360907,945,754,Hidden States Maha,
llama3_8b,wildguardtest,17,0.8469688051795173,0.8126801152737753,0.7480106100795756,0.9259259259259259,0.9191156863570658,0.895959388529683,945,754,Hidden States Maha,
llama3_8b,wildguardtest,18,0.8422601530311948,0.8063583815028902,0.7400530503978779,0.9238095238095239,0.9180252059562406,0.8945884510079717,945,754,Hidden States Maha,
llama3_8b,wildguardtest,19,0.8428487345497352,0.8077753779697624,0.7440318302387268,0.9216931216931217,0.9190630569940915,0.8972860554368463,945,754,Hidden States Maha,
llama3_8b,wildguardtest,20,0.8434373160682754,0.8086330935251799,0.7453580901856764,0.9216931216931217,0.9185009753975272,0.8956266224655368,945,754,Hidden States Maha,
llama3_8b,wildguardtest,21,0.8399058269570335,0.8026124818577649,0.73342175066313,0.9248677248677248,0.918493256424291,0.8948996048442535,945,754,Hidden States Maha,
llama3_8b,wildguardtest,22,0.8428487345497352,0.8052516411378556,0.7320954907161804,0.9312169312169312,0.9196496989600436,0.8956781318061554,945,754,Hidden States Maha,
llama3_8b,wildguardtest,23,0.8428487345497352,0.8046817849305048,0.7294429708222812,0.9333333333333333,0.919488302246923,0.8950694137930212,945,754,Hidden States Maha,
llama3_8b,wildguardtest,24,0.8446144791053561,0.8081395348837209,0.7374005305039788,0.9301587301587302,0.9195325109118214,0.8949936791602402,945,754,Hidden States Maha,
llama3_8b,wildguardtest,25,0.8510888758092996,0.8165337200870196,0.746684350132626,0.9343915343915344,0.9211541970162659,0.8985610887636324,945,754,Hidden States Maha,
llama3_8b,wildguardtest,26,0.8469688051795173,0.8102189781021898,0.7360742705570292,0.9354497354497354,0.9210770072839038,0.8987091133282381,945,754,Hidden States Maha,
llama3_8b,wildguardtest,27,0.8540317834020011,0.8205499276410999,0.7519893899204244,0.9354497354497354,0.9218973236214615,0.8989503976364576,945,754,Hidden States Maha,
llama3_8b,wildguardtest,28,0.8557975279576221,0.8218181818181818,0.7493368700265252,0.9407407407407408,0.9212461229702609,0.8963510862236801,945,754,Hidden States Maha,
llama3_8b,wildguardtest,29,0.8534432018834609,0.8186453022578296,0.7453580901856764,0.9396825396825397,0.9219857409512583,0.8986136886740587,945,754,Hidden States Maha,
llama3_8b,wildguardtest,30,0.85167745732784,0.8163265306122449,0.7427055702917772,0.9386243386243386,0.9259111897042931,0.9005811256966141,945,754,Hidden States Maha,
llama3_8b,wildguardtest,31,0.8540317834020011,0.8189781021897811,0.7440318302387268,0.9417989417989417,0.9251729751729751,0.9023356860073329,945,754,Hidden States Maha,
llama3_8b,wildguardtest,32,0.8522660388463802,0.8169219547775346,0.7427055702917772,0.9396825396825397,0.9254396306120443,0.9066478407045633,945,754,Hidden States Maha,
llama3_8b_inst,wildguardtest,1,0.7804590935844614,0.7267399267399267,0.6578249336870027,0.8783068783068783,0.8393379927862686,0.8215632985341499,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,2,0.8016480282519128,0.7498144023756496,0.669761273209549,0.9068783068783068,0.8585182378285827,0.8400245544817752,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,3,0.8034137728075338,0.7547723935389133,0.6816976127320955,0.9005291005291005,0.8629861198826716,0.8395053613632227,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,4,0.8198940553266627,0.7733333333333333,0.6923076923076923,0.9216931216931217,0.8861542671887499,0.8617568390436379,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,5,0.8263684520306063,0.7841989758595465,0.7108753315649867,0.9185185185185185,0.9029381219036392,0.8757267339313013,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,6,0.8410829899941142,0.8023426061493412,0.726790450928382,0.9322751322751323,0.912807881773399,0.8854099621609667,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,7,0.849911712772219,0.8156182212581344,0.7480106100795756,0.9312169312169312,0.9240607413021206,0.898583169465181,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,8,0.8669805768098882,0.836940836940837,0.7692307692307693,0.944973544973545,0.9335284128387576,0.9123955246305439,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,9,0.8775750441436139,0.8505747126436781,0.7851458885941645,0.9513227513227513,0.9402425161045851,0.9229082980825962,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,10,0.8811065332548558,0.8561253561253561,0.7970822281167109,0.9481481481481482,0.9449658260003089,0.9244880328438715,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,11,0.8846380223660977,0.8613861386138614,0.8076923076923077,0.946031746031746,0.950668743772192,0.9378432221154809,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,12,0.8917010005885815,0.870604781997187,0.8209549071618037,0.9481481481481482,0.9525002456036938,0.9417960351195341,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,13,0.8922895821071218,0.8717589348283111,0.8249336870026526,0.946031746031746,0.9526012939806044,0.9436682096322819,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,14,0.8964096527369041,0.8770949720670391,0.8328912466843501,0.9470899470899471,0.9503185830772038,0.94145976103822,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,15,0.8928781636256622,0.8730822873082287,0.830238726790451,0.9428571428571428,0.9517662414214138,0.9458201049048263,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,16,0.898175397292525,0.8789363191042687,0.8328912466843501,0.9502645502645503,0.9493909028391787,0.9466515501454053,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,17,0.899941141848146,0.8817802503477051,0.8408488063660478,0.9470899470899471,0.9490821439097301,0.9468959793098071,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,18,0.8934667451442024,0.8740431454418929,0.8328912466843501,0.9417989417989417,0.9466808415084278,0.9456079477171966,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,19,0.8875809299587993,0.8670842032011135,0.8262599469496021,0.9365079365079365,0.9461320926838169,0.9435809940133459,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,20,0.886992348440259,0.8659217877094972,0.8222811671087533,0.9386243386243386,0.9445090031296928,0.940943517543193,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,21,0.8864037669217186,0.8655052264808363,0.8236074270557029,0.9365079365079365,0.9417168399927022,0.9342257154823512,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,22,0.885226603884638,0.8639218422889045,0.8209549071618037,0.9365079365079365,0.941890166028097,0.9336550479081086,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,23,0.8846380223660977,0.8635097493036211,0.8222811671087533,0.9343915343915344,0.9411933532623187,0.9323426696440065,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,24,0.8822836962919365,0.8601398601398601,0.8156498673740054,0.9354497354497354,0.9426494323046047,0.933732201069656,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,25,0.8769864626250736,0.8543554006968641,0.8129973474801061,0.928042328042328,0.9425638218741668,0.9324614790281331,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,26,0.8781636256621542,0.8551434569629112,0.8103448275862069,0.9322751322751323,0.9423112009318906,0.9301582222123881,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,27,0.8763978811065333,0.852112676056338,0.8023872679045093,0.9354497354497354,0.9424052320604046,0.9319517622283712,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,28,0.8834608593290171,0.8611500701262272,0.8143236074270557,0.9386243386243386,0.9413772051703085,0.9287932080158628,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,29,0.8816951147733961,0.8585503166783955,0.8090185676392573,0.9396825396825397,0.9428227583399997,0.9323999112763603,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,30,0.8816951147733961,0.8589473684210527,0.8116710875331565,0.9375661375661376,0.9432023914782535,0.9360837035571842,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,31,0.8775750441436139,0.8537271448663853,0.8050397877984085,0.9354497354497354,0.9411077428318808,0.9346035168000375,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,32,0.8769864626250736,0.8539482879105521,0.8103448275862069,0.9301587301587302,0.9434627313937658,0.9421680814242916,945,754,Hidden States Maha,32.0
mistral7b,wildguardtest,0,0.633313713949382,0.6151945645460161,0.6604774535809018,0.6116402116402117,0.640462857704237,0.545918177955716,945,754,Hidden States Maha,
mistral7b,wildguardtest,1,0.7133608004708653,0.663441603317208,0.636604774535809,0.7746031746031746,0.7828645811404432,0.7853462018309669,945,754,Hidden States Maha,
mistral7b,wildguardtest,2,0.6344908769864627,0.6178461538461538,0.6657824933687002,0.6095238095238096,0.6889288872047492,0.6791697248286669,945,754,Hidden States Maha,
mistral7b,wildguardtest,3,0.6386109476162448,0.6138364779874214,0.6472148541114059,0.6317460317460317,0.7134703100220341,0.7113524227413036,945,754,Hidden States Maha,
mistral7b,wildguardtest,4,0.6580341377280753,0.6159947124917383,0.6180371352785146,0.68994708994709,0.731360083084221,0.730356589335314,945,754,Hidden States Maha,
mistral7b,wildguardtest,5,0.7027663331371395,0.6426043878273178,0.6021220159151194,0.783068783068783,0.7629124387745078,0.7627970178788422,945,754,Hidden States Maha,
mistral7b,wildguardtest,6,0.7274867569158329,0.6652205350686913,0.610079575596817,0.8211640211640212,0.7953194953194953,0.7925527008892521,945,754,Hidden States Maha,
mistral7b,wildguardtest,7,0.7527957622130665,0.6960926193921853,0.6379310344827587,0.8444444444444444,0.8163698370594923,0.8102603191877762,945,754,Hidden States Maha,
mistral7b,wildguardtest,8,0.7733961153619776,0.7220216606498195,0.6631299734748011,0.8613756613756614,0.8395772809565913,0.8289791627796763,945,754,Hidden States Maha,
mistral7b,wildguardtest,9,0.7934078869923484,0.7480258435032304,0.6909814323607427,0.8751322751322751,0.8678757385653937,0.8545466971004398,945,754,Hidden States Maha,
mistral7b,wildguardtest,10,0.7981165391406709,0.7530597552195825,0.6936339522546419,0.8814814814814815,0.8789117651186616,0.8631837698278512,945,754,Hidden States Maha,
mistral7b,wildguardtest,11,0.8069452619187758,0.7640287769784173,0.7042440318302388,0.8888888888888888,0.8855072768865873,0.8695106126314778,945,754,Hidden States Maha,
mistral7b,wildguardtest,12,0.8198940553266627,0.7789017341040463,0.7148541114058355,0.9037037037037037,0.897306078340561,0.8793013502584043,945,754,Hidden States Maha,
mistral7b,wildguardtest,13,0.8234255444379046,0.782608695652174,0.7161803713527851,0.908994708994709,0.902347269588649,0.8856267310377578,945,754,Hidden States Maha,
mistral7b,wildguardtest,14,0.8234255444379046,0.782608695652174,0.7161803713527851,0.908994708994709,0.9041296506813747,0.8864317619911268,945,754,Hidden States Maha,
mistral7b,wildguardtest,15,0.8340200117716303,0.795355587808418,0.726790450928382,0.9195767195767196,0.9084761343382033,0.8878924726146511,945,754,Hidden States Maha,
mistral7b,wildguardtest,16,0.836962919364332,0.7991298042059464,0.7307692307692307,0.9216931216931217,0.9104423673389191,0.8905857736462609,945,754,Hidden States Maha,
mistral7b,wildguardtest,17,0.8393172454384933,0.8026030368763557,0.7360742705570292,0.9216931216931217,0.9135825859963791,0.8942635842856754,945,754,Hidden States Maha,
mistral7b,wildguardtest,18,0.8381400824014126,0.799416484318016,0.726790450928382,0.926984126984127,0.9143355367493298,0.8938329966867087,945,754,Hidden States Maha,
mistral7b,wildguardtest,19,0.8463802236609771,0.8110065170166546,0.7427055702917772,0.9291005291005291,0.9162828231793748,0.8975764870453389,945,754,Hidden States Maha,
mistral7b,wildguardtest,20,0.8434373160682754,0.806966618287373,0.7374005305039788,0.928042328042328,0.9176982021809609,0.8992115711946747,945,754,Hidden States Maha,
mistral7b,wildguardtest,21,0.8469688051795173,0.8113207547169812,0.7413793103448276,0.9312169312169312,0.9190834070144415,0.9002313866218544,945,754,Hidden States Maha,
mistral7b,wildguardtest,22,0.8410829899941142,0.8040638606676342,0.7347480106100795,0.9259259259259259,0.9189648155165397,0.8990150578941865,945,754,Hidden States Maha,
mistral7b,wildguardtest,23,0.8393172454384933,0.8017429193899782,0.7320954907161804,0.9248677248677248,0.9184490477593926,0.8974304373373603,945,754,Hidden States Maha,
mistral7b,wildguardtest,24,0.8422601530311948,0.8057971014492754,0.7374005305039788,0.9259259259259259,0.91788345753863,0.8966482696383089,945,754,Hidden States Maha,
mistral7b,wildguardtest,25,0.8452030606238964,0.8090050835148874,0.7387267904509284,0.9301587301587302,0.9194932143208004,0.8983098730143818,945,754,Hidden States Maha,
mistral7b,wildguardtest,26,0.8446144791053561,0.8075801749271136,0.7347480106100795,0.9322751322751323,0.9196244368658162,0.8981830559405903,945,754,Hidden States Maha,
mistral7b,wildguardtest,27,0.8434373160682754,0.8066860465116279,0.7360742705570292,0.9291005291005291,0.9200216131250614,0.8992299604161677,945,754,Hidden States Maha,
mistral7b,wildguardtest,28,0.8446144791053561,0.8081395348837209,0.7374005305039788,0.9301587301587302,0.9180266094059197,0.8956364468971588,945,754,Hidden States Maha,
mistral7b,wildguardtest,29,0.849911712772219,0.8161499639509733,0.7506631299734748,0.9291005291005291,0.9189121861535654,0.8974017350681165,945,754,Hidden States Maha,
mistral7b,wildguardtest,30,0.8475573866980577,0.8132660418168709,0.7480106100795756,0.926984126984127,0.9216924199682819,0.9012037356270635,945,754,Hidden States Maha,
mistral7b,wildguardtest,31,0.8505002942907592,0.8159420289855073,0.746684350132626,0.9333333333333333,0.9219225857156892,0.9011774451277403,945,754,Hidden States Maha,
mistral7b,wildguardtest,32,0.857563272513243,0.8256484149855908,0.7599469496021221,0.9354497354497354,0.9239428515290583,0.9023872573227101,945,754,Hidden States Maha,
mistral7b_inst,wildguardtest,1,0.7910535609181871,0.7436823104693141,0.6830238726790451,0.8772486772486773,0.8371731716559303,0.8393629720060763,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,2,0.7828134196586227,0.7284768211920529,0.656498673740053,0.8835978835978836,0.8524932283552973,0.8352861094847712,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,3,0.7898763978811065,0.7357512953367875,0.6591511936339522,0.8941798941798942,0.8582038651004169,0.846981151238435,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,4,0.7928193054738081,0.7365269461077845,0.6525198938992043,0.9047619047619048,0.8628492835389387,0.8498018502166662,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,5,0.8169511477339612,0.7677371172516804,0.6816976127320955,0.9248677248677248,0.8951538882573364,0.8704971651000822,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,6,0.8328428487345497,0.7914831130690162,0.7148541114058355,0.926984126984127,0.9032798619005515,0.8772050858120893,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,7,0.8475573866980577,0.80997798972854,0.7320954907161804,0.9396825396825397,0.9172322568874294,0.8941244760000095,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,8,0.8528546203649205,0.8175182481751825,0.7427055702917772,0.9407407407407408,0.9254143685178169,0.8998346346127482,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,9,0.8658034137728076,0.8354978354978355,0.7679045092838196,0.9439153439153439,0.9341297910263427,0.9133010380398817,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,10,0.8746321365509123,0.8464311463590483,0.7785145888594165,0.9513227513227513,0.9355269251820976,0.9136733765669269,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,11,0.8763978811065333,0.8506401137980085,0.7931034482758621,0.9428571428571428,0.9385260971467868,0.9183886959080725,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,12,0.8781636256621542,0.8530872959545777,0.7970822281167109,0.9428571428571428,0.940102171136654,0.9242932472824205,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,13,0.886992348440259,0.8638297872340426,0.8076923076923077,0.9502645502645503,0.9474983509466267,0.9337579660970293,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,14,0.8928781636256622,0.8723702664796634,0.8249336870026526,0.9470899470899471,0.9493045906839012,0.938251535815503,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,15,0.8887580929958799,0.8675543097407148,0.8209549071618037,0.9428571428571428,0.9481060446577688,0.9338343019415142,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,16,0.8905238375515009,0.8695652173913043,0.8222811671087533,0.944973544973545,0.9502140260760952,0.9394078149610722,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,17,0.8940553266627428,0.8737727910238429,0.8262599469496021,0.9481481481481482,0.9496519444795307,0.942135806755621,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,18,0.8893466745144203,0.8681626928471248,0.8209549071618037,0.9439153439153439,0.9474120387913493,0.9409314722906871,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,19,0.885226603884638,0.8625792811839323,0.8116710875331565,0.9439153439153439,0.946358048082186,0.9353615349490156,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,20,0.8893466745144203,0.8681626928471248,0.8209549071618037,0.9439153439153439,0.9460471839782184,0.9366222467742501,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,21,0.886992348440259,0.8651685393258427,0.8169761273209549,0.9428571428571428,0.9457798268143096,0.9368254110690387,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,22,0.885226603884638,0.8631578947368421,0.8156498673740054,0.9407407407407408,0.9421862939104318,0.9339032370273632,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,23,0.8840494408475574,0.8621413575927221,0.8169761273209549,0.9375661375661376,0.9430725723829172,0.9358797093837553,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,24,0.8840494408475574,0.861948142957253,0.8156498673740054,0.9386243386243386,0.9439567456808836,0.937025627737276,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,25,0.8840494408475574,0.8623340321453529,0.8183023872679045,0.9365079365079365,0.9436241281068867,0.9356854380354745,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,26,0.8805179517363155,0.8577435178696566,0.8116710875331565,0.9354497354497354,0.9427006582178995,0.9351124889689875,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,27,0.8858151854031784,0.8641456582633054,0.8183023872679045,0.9396825396825397,0.9411933532623187,0.9331544517394448,945,754,Hidden States Maha,32.0
